จังหวัด,เขต,ชื่อผู้สมัคร,หมายเลข,พรรค,วุฒิการศึกษา,เพศ,ช่วงอายุ,อาชีพ
กรุงเทพมหานคร,2,นายหนึ่งพุทธ  วิมุตตินันท์,18,เพื่อฟ้าดิน,ปริญญาตรี,ชาย,61-70 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,2,หม่อมหลวงณัฎฐพล  เทวกุล,1,เพื่อไทย,ปริญญาตรี,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,2,นางสาวอรอนงค์  กาญจนชูศักดิ์,10,ประชาธิปัตย์,ปริญญาโท,หญิง,41-50 ปี,นักการเมือง
กรุงเทพมหานคร,3,นางสาวณิชาดา  ภัทรธนจิระกุล,14,กิจสังคม,ปริญญาตรี,หญิง,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,3,นางสาวใบบุญ  ชาติบุญนิยม,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,51-60 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,3,นายจรูญเกียรติ  ภัทรมนตรีสิน,12,รักษ์สันติ,ปริญญาเอก,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,3,นายจิตรกร  เจนทัตถการกิจ,34,ความหวังใหม่,ปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,3,นายพงษ์พิสุทธิ์  จินตโสภณ,1,เพื่อไทย,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
กรุงเทพมหานคร,3,นายวิรัช  วีระสกุลรักษ์,21,ชาติไทยพัฒนา,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,3,นายอรัญ  พันธุมจินดา,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,ชาย,31-40 ปี,ไม่ระบุ
กรุงเทพมหานคร,3,หม่อมหลวงอภิมงคล  โสณกุล,10,ประชาธิปัตย์,ปริญญาโท,ชาย,31-40 ปี,นักการเมือง
กรุงเทพมหานคร,4,นางสาวประกายขวัญ  ปัญญาพร,18,เพื่อฟ้าดิน,ต่ำกว่าปริญญาตรี,หญิง,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,4,นายทศพล  บรรลือศิลป์,33,ประชาสันติ,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,นายเฟิม  หงสนันทน์,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,นายมนัส  มิตรเจริญ,39,เพื่อนเกษตรไทย,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,นายวรพงษ์  ตันติเวชยานนท์,1,เพื่อไทย,ปริญญาตรี,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,นายวิบูลย์  วีระพงษ์ประดิษฐ์,21,ชาติไทยพัฒนา,ปริญญาตรี,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,4,นายสมพิศ  ผอบเพ็ชร,14,กิจสังคม,ต่ำกว่าปริญญาตรี,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,นายอนุชา  บูรพชัยศรี,10,ประชาธิปัตย์,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
กรุงเทพมหานคร,4,นายเอกราช  หวังนุช,26,มาตุภูมิ,ต่ำกว่าปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,4,พันตำรวจโทหญิงฐิชาลักษณ์  ณรงค์วิทย์,12,รักษ์สันติ,ปริญญาโท,หญิง,51-60 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,5,นางศิริลักษณ์  นิลพัฒ,21,ชาติไทยพัฒนา,ต่ำกว่าปริญญาตรี,หญิง,51-60 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,5,นางสาวจิตภัสร์  ภิรมย์ภักดี,10,ประชาธิปัตย์,ปริญญาตรี,หญิง,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,5,นางสาวลีลาวดี  วัชโรบล,1,เพื่อไทย,ปริญญาเอก,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,5,นายชาต  ศรีสุดดี,14,กิจสังคม,ปริญญาตรี,ชาย,41-50 ปี,วิชาชีพอิสระ
กรุงเทพมหานคร,5,นายประจวบ  อึ๊งภากรณ์,12,รักษ์สันติ,ปริญญาตรี,ชาย,61-70 ปี,แพทย์
กรุงเทพมหานคร,5,นายวรากร  ทุมพร,33,ประชาสันติ,ปริญญาตรี,ชาย,51-60 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,5,นายวัชริทร์  รัตนนาม,34,ความหวังใหม่,ปริญญาโท,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,5,นายวิศิษฏ์  จิตตนุปัสน์,18,เพื่อฟ้าดิน,ปริญญาตรี,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,5,นายศิวดล  ศรีวัฒนะ,36,พลังคนกีฬา,ปริญญาตรี,ชาย,31-40 ปี,นักกฎหมาย
กรุงเทพมหานคร,5,นายโสภณ  ดำนุ้ย,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,51-60 ปี,ข้าราชการประจำ
กรุงเทพมหานคร,5,พันโทเจริญ  นุชอุดม,29,เพื่อประชาชนไทย,ต่ำกว่าปริญญาตรี,ชาย,61-70 ปี,ข้าราชการประจำ
กรุงเทพมหานคร,6,นางสาวมลฤดี  สร้อยธรรมา,14,กิจสังคม,ปริญญาตรี,หญิง,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,6,นางสาวสรารัตน์  เรืองศรี,34,ความหวังใหม่,ปริญญาตรี,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,6,นางสาวสุภารัตน์  ไตรทศพร,21,ชาติไทยพัฒนา,ปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,6,นายกริชชัย  อรุณวงษ์ ณ อยุธยา,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,6,นายกวี  ณ ลำปาง,1,เพื่อไทย,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,6,นายเกรียงศักดิ์  แสงประดับ,36,พลังคนกีฬา,ปริญญาโท,ชาย,31-40 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,6,นายธนา  ชีรวินิจ,10,ประชาธิปัตย์,ปริญญาตรี,ชาย,41-50 ปี,นักการเมือง
กรุงเทพมหานคร,6,นายนเรนทร์ฤทธิ์  ไชยโย,12,รักษ์สันติ,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,6,นายประวิทย์  โพธิ์กระจ่าง,33,ประชาสันติ,ปริญญาตรี,ชาย,61-70 ปี,รัฐวิสาหกิจ
กรุงเทพมหานคร,6,นายสว่าง  คุณานุรักษพงศ์,18,เพื่อฟ้าดิน,ปริญญาตรี,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,6,ว่าที่ ร้อยตรีวรพจน์  ประทุมวัน,23,ชาติสามัคคี,ปริญญาโท,ชาย,41-50 ปี,วิชาชีพอิสระ
กรุงเทพมหานคร,7,นางมาลีรัฏฐ์  เอี้ยวสกุล,34,ความหวังใหม่,ปริญญาเอก,หญิง,51-60 ปี,ข้าราชการประจำ
กรุงเทพมหานคร,7,นางวัจนา  สุทัศน์ ณ อยุธยา,12,รักษ์สันติ,ปริญญาตรี,หญิง,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,7,นางสาวศีลสนิท  น้อยอินต๊ะ,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,7,นางสาวอนุตตมา  อมรวิวัฒน์,1,เพื่อไทย,ปริญญาโท,หญิง,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,7,นายกฤษฎา  พรหมพิพัฒน์พร,33,ประชาสันติ,ปริญญาตรี,ชาย,51-60 ปี,นักกฎหมาย
กรุงเทพมหานคร,7,นายธเนศวร  มหาธนินวงศ์,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,51-60 ปี,นักกฎหมาย
กรุงเทพมหานคร,7,นายพุทธิพงษ์  ปุณณกันต์,10,ประชาธิปัตย์,ปริญญาโท,ชาย,41-50 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,7,นายไพฑูรย์  เครือนาค,14,กิจสังคม,ปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ไม่ระบุ
กรุงเทพมหานคร,7,นายสกาว  เรือนจันทร์,36,พลังคนกีฬา,ปริญญาตรี,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,7,นายสุชาติ  นันทนานิมิตกุล,21,ชาติไทยพัฒนา,ปริญญาโท,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,7,นายเอกสิทธิ์  หมวดทอง,4,ประชากรไทย,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,8,นางพรรณี  บุญมา,23,ชาติสามัคคี,ปริญญาตรี,หญิง,61-70 ปี,ข้าราชการประจำ
กรุงเทพมหานคร,8,นางสาวตะวันธรรม  ข่าทิพย์พาที,18,เพื่อฟ้าดิน,ต่ำกว่าปริญญาตรี,หญิง,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,8,นายชะฎา  ทุยไธสง,33,ประชาสันติ,ต่ำกว่าปริญญาตรี,ชาย,61-70 ปี,ไม่ระบุ
กรุงเทพมหานคร,8,นายบุญอนันต์  เปี่ยมพงศ์สานต์,12,รักษ์สันติ,ปริญญาโท,ชาย,41-50 ปี,นักกฎหมาย
กรุงเทพมหานคร,8,นายวรศักดิ์  อิศรางกูร ณ อยุธยา,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,8,นายสรรเสริญ  สมะลาภา,10,ประชาธิปัตย์,ปริญญาเอก,ชาย,41-50 ปี,นักการเมือง
กรุงเทพมหานคร,8,นายสิงห์ทอง  บัวชุม,1,เพื่อไทย,ปริญญาเอก,ชาย,41-50 ปี,วิชาชีพอิสระ
กรุงเทพมหานคร,8,นายสุภาพ  ศรีชัย,14,กิจสังคม,ปริญญาโท,ชาย,51-60 ปี,นักกฎหมาย
กรุงเทพมหานคร,8,ว่าที่ ร้อยโทเกียรติสณ  พุสดี,9,พลังมวลชน,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,9,นางภันณี  ธกูลสวัสดิ์,36,พลังคนกีฬา,ปริญญาตรี,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,9,นางสาวจันทร์แรม  อัมรินทร์,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,51-60 ปี,ไม่ระบุ
กรุงเทพมหานคร,9,นางสาวฉวีวรรณ  พงษ์ศิลา,21,ชาติไทยพัฒนา,ต่ำกว่าปริญญาตรี,หญิง,31-40 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,9,นางสาววิลาวัลย์  ธรรมชาติ,1,เพื่อไทย,ปริญญาโท,หญิง,41-50 ปี,นักการเมือง
กรุงเทพมหานคร,9,นายจริส  สุพร,33,ประชาสันติ,ปริญญาตรี,ชาย,61-70 ปี,นักกฎหมาย
กรุงเทพมหานคร,9,นายดามพ์  เผด็จดัสกร,34,ความหวังใหม่,ปริญญาตรี,ชาย,61-70 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,9,นายภาษกร  เดชะสุรังกูล,20,การเมืองใหม่,ปริญญาโท,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,9,นายอภิชาติ  รัตรสาร,14,กิจสังคม,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,9,นายอรรถวิชช์  สุวรรณภักดี,10,ประชาธิปัตย์,ปริญญาโท,ชาย,31-40 ปี,นักการเมือง
กรุงเทพมหานคร,9,พันตรีอภิรักษ์  อารีย์มิตร,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,ชาย,61-70 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,9,ร้อยตำรวจตรีเสน่ห์  ชัยทร,4,ประชากรไทย,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,9,ร้อยเอกหม่อมหลวงเกียรติเกษม  เกษมสันต์,12,รักษ์สันติ,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,10,นางสาวใจแก้ว  อโศกตระกูล,18,เพื่อฟ้าดิน,ต่ำกว่าปริญญาตรี,หญิง,61-70 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,10,นางสาวอุมาพร  อ่อนสุภาพ,14,กิจสังคม,ปริญญาโท,หญิง,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,10,นายเฉลิมชัย  จีนะวิจารณะ,1,เพื่อไทย,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,10,นายชื่นชอบ  คงอุดม,10,ประชาธิปัตย์,ปริญญาตรี,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,10,นายผดุงสิน  ศรีไชโย,34,ความหวังใหม่,ต่ำกว่าปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,10,นายสมบัติ  เปี่ยมบริบูรณ์,12,รักษ์สันติ,ปริญญาเอก,ชาย,61-70 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,10,นายอรรถพล  วงศ์รัตน์,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,11,นางรัชฎาภรณ์  ศรีลาเลิศ,39,เพื่อนเกษตรไทย,ต่ำกว่าปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,11,นางสาวประภารัตน์  พิริยะอนันตกุล,36,พลังคนกีฬา,ปริญญาโท,หญิง,31-40 ปี,นักกฎหมาย
กรุงเทพมหานคร,11,นางสาวเยาวภา  บุรพลชัย,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,หญิง,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,11,นางสาวศุภมาส  อิศรภักดี,16,ภูมิใจไทย,ปริญญาโท,หญิง,31-40 ปี,นักการเมือง
กรุงเทพมหานคร,11,นางสาวสวยใส  ชาวหินฟ้า,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,11,นางอุษณีย์  กกไธสง,34,ความหวังใหม่,ปริญญาตรี,หญิง,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,11,นายชายสิทธิ์  คำเทศ,4,ประชากรไทย,ปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,11,นายศักดินนท์  พุ่มคชา,14,กิจสังคม,ปริญญาตรี,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,11,นายสกลธี  ภัททิยกุล,10,ประชาธิปัตย์,ปริญญาโท,ชาย,31-40 ปี,นักการเมือง
กรุงเทพมหานคร,11,นายสิระ  เจนจาคะ,12,รักษ์สันติ,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,11,นายสุรชาติ  เทียนทอง,1,เพื่อไทย,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,12,นางวัชรินทร์  เรืองศรี,34,ความหวังใหม่,ต่ำกว่าปริญญาตรี,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,12,นางสาวเบ็ญจวรรณ  เจริญวงษ์,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,12,นายการุณ  โหสกุล,1,เพื่อไทย,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,ไม่ระบุ
กรุงเทพมหานคร,12,นายแทนคุณ  จิตต์อิสระ,10,ประชาธิปัตย์,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,12,นายธวัชชัย  ด้วงแดงโชติ,36,พลังคนกีฬา,ต่ำกว่าปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,12,นายนิรุติ  จิตชัย,2,ชาติพัฒนาเพื่อแผ่นดิน,ต่ำกว่าปริญญาตรี,ชาย,51-60 ปี,ไม่ระบุ
กรุงเทพมหานคร,12,นายพฤกพงษ์  เปรมศิริ,26,มาตุภูมิ,ปริญญาโท,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,12,นายภูมิพัฒน์  กาลกิจ,21,ชาติไทยพัฒนา,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,12,นาวาเอกประจักษ์  วังกานนท์,14,กิจสังคม,ปริญญาโท,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,12,ร้อยเอกชมพล  ยูสานนท์,12,รักษ์สันติ,ปริญญาโท,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,13,นางสาวนิรชา  ระย้า,36,พลังคนกีฬา,ต่ำกว่าปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,13,นางสาวบงกฏ  เจริญเธียร,13,ไทยเป็นสุข,ต่ำกว่าปริญญาตรี,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,13,นายก้องศักดิ์  ยอดมณี,10,ประชาธิปัตย์,ปริญญาโท,ชาย,31-40 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,13,นายวัชรินทร์  อนันต์หน่อ,26,มาตุภูมิ,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,13,นายวิระพจน์  รัตนพันธ์,34,ความหวังใหม่,ปริญญาตรี,ชาย,41-50 ปี,ไม่ระบุ
กรุงเทพมหานคร,13,นายหนึ่งหล้า  ลิ้นป่าโลกีย์,18,เพื่อฟ้าดิน,ต่ำกว่าปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,13,นายเอกภพ  เหล่าลาภะ,21,ชาติไทยพัฒนา,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,13,นาวาอากาศตรีปิยะพงษ์  ผิวอ่อน,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,ชาย,41-50 ปี,ข้าราชการประจำ
กรุงเทพมหานคร,13,นาวาอากาศโทรวยลาภ  เอี่ยมทอง,12,รักษ์สันติ,ปริญญาตรี,ชาย,51-60 ปี,นักการเมือง
กรุงเทพมหานคร,13,นาวาอากาศเอกอนุดิษฐ์  นาครทรรพ,1,เพื่อไทย,ปริญญาโท,ชาย,41-50 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,13,พลโทดนัย  เงินโสภา,14,กิจสังคม,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,14,นางกรพินธุ์  สุทัศน์ ณ อยุธยา,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,14,นางสาวอภิญรัตน์  วัฒนะพัทธ์,39,เพื่อนเกษตรไทย,ต่ำกว่าปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,14,นายคมปภัต  สันทัด,14,กิจสังคม,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,14,นายเฉลิมศักดิ์  เอกสุธานี,36,พลังคนกีฬา,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,14,นายพจน์  อู่ธนา,12,รักษ์สันติ,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,14,นายวิทเยนทร์  มุตตามระ,10,ประชาธิปัตย์,ปริญญาโท,ชาย,41-50 ปี,อาชีพอื่นๆ
กรุงเทพมหานคร,14,นายสมบูรณ์  สุขสวัสดิ์,18,เพื่อฟ้าดิน,ปริญญาตรี,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,14,นายอนุสรณ์  ปั้นทอง,1,เพื่อไทย,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,15,นางคนึงนิจ  คคนัมพรคงคา,11,ไทยพอเพียง,ต่ำกว่าปริญญาตรี,หญิง,61-70 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,15,นางวิภาวี  ทองพิทักษ์,36,พลังคนกีฬา,ปริญญาตรี,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,15,นางสาวยลศิริ  ดำช่วย,18,เพื่อฟ้าดิน,ปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,15,นายชัยฤกษ์  กลางพิมาย,28,พลังสังคมไทย,ปริญญาตรี,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,15,นายชิษณุพงศ์  รัตนพันธ์,14,กิจสังคม,ปริญญาโท,ชาย,51-60 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,15,นายณรงค์  รื่นพิทักษ์,34,ความหวังใหม่,ปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,15,นายณัฏฐ์  บรรทัดฐาน,10,ประชาธิปัตย์,ปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,15,นายธีรัจชัย  พันธุมาศ,12,รักษ์สันติ,ปริญญาโท,ชาย,41-50 ปี,นักกฎหมาย
กรุงเทพมหานคร,15,นายภักดีหาญส์  หิมะทองคำ,1,เพื่อไทย,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,15,นายภูโมกข์  นุ่นจันทร์,9,พลังมวลชน,ปริญญาตรี,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
