หมายเลข,พรรค,ลำดับในบัญชี,ชื่อผู้สมัคร,การศึกษาสูงสุด,เพศ,ช่วงอายุ,อาชีพ
1,เพื่อไทย,59,นายอดิศักดิ์  โภคกุลกานนท์,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,นักการเมือง
1,เพื่อไทย,60,นายวิเชียร  ขาวขำ,ปริญญาตรี,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,61,นายประวัฒน์  อุตโมท,ปริญญาเอก,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,62,นายดนุพร  ปุณณกันต์,ปริญญาโท,ชาย,31-40 ปี,นักการเมือง
1,เพื่อไทย,63,นายยุรนันท์  ภมรมนตรี,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,64,นางบุศริณธญ์  วรพัฒนานันน์,ปริญญาโท,หญิง,51-60 ปี,นักกฎหมาย
1,เพื่อไทย,65,นายกิตติศักดิ์  หัตถสงเคราะห์,ปริญญาโท,ชาย,71-80 ปี,นักการเมือง
1,เพื่อไทย,66,นางอุดมรัตน์  อาภรณ์รัตน์,ปริญญาโท,หญิง,41-50 ปี,นักการเมือง
1,เพื่อไทย,67,นายชวลิต  วิชยสุทธิ์,ปริญญาโท,ชาย,51-60 ปี,ข้าราชการประจำ
1,เพื่อไทย,68,นายธวัชชัย  สุทธิบงกช,ปริญญาโท,ชาย,61-70 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,69,นายทวีศักดิ์  อนรรฆพันธ์,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,70,นายสรรพภัญญู  ศิริไปล์,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,71,นางสาวมาลินี  อินฉัตร,ปริญญาโท,หญิง,51-60 ปี,ไม่ระบุ
1,เพื่อไทย,72,นายชินวัฒน์  หาบุญพาด,ต่ำกว่าปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,73,นายเอกธนัช  อินทร์รอด,ปริญญาโท,ชาย,41-50 ปี,นักกฎหมาย
1,เพื่อไทย,74,นายถิรชัย  วุฒิธรรม,ปริญญาตรี,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,75,นายสมเกียรติ  ศรลัมพ์,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,76,นายอับดุลเร๊าะห์มาน  อับดุลสมัด,ปริญญาตรี,ชาย,51-60 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,77,นายชนะศักดิ์  อัตถาวงศ์,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,78,นายกมล  บันไดเพชร,ปริญญาตรี,ชาย,51-60 ปี,นักกฎหมาย
1,เพื่อไทย,79,นางฉวีวรรณ  คลังแสง,ปริญญาตรี,หญิง,51-60 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,80,นายโสภณ  เพชรสว่าง,ปริญญาโท,ชาย,71-80 ปี,นักกฎหมาย
1,เพื่อไทย,81,นายภิญโญ  ตั๊นวิเศษ,ปริญญาโท,ชาย,41-50 ปี,ไม่ระบุ
1,เพื่อไทย,82,นายสถิรพร  นาคสุข,ปริญญาเอก,ชาย,51-60 ปี,พนักงานส่วนท้องถิ่น
1,เพื่อไทย,83,นายประแสง  มงคลศิริ,ปริญญาเอก,ชาย,41-50 ปี,วิชาชีพอิสระ
1,เพื่อไทย,84,นายสฤษฏ์  อึ้งอภินันท์,ปริญญาตรี,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,85,นายพฤฒิชัย  วิริยะโรจน์,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,86,นายเพชรวรรต  วัฒนพงศศิริกุล,ปริญญาเอก,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,87,นายสุรชัย  เบ้าจรรยา,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,88,นางรัตนาภรณ์  สมบูรณ์,ปริญญาโท,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,89,นายธนาธร  โล่ห์สุนทร,ปริญญาโท,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,90,พลตำรวจตรีธวัช  บุญเฟื่อง,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,91,พลตำรวจตรีไพฑูรย์  เชิดมณี,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,92,นายพูลสวัสดิ์  โหตระไวศยะ,ปริญญาตรี,ชาย,51-60 ปี,ข้าราชการประจำ
1,เพื่อไทย,93,นายประสพ  บุษราคัม,ปริญญาตรี,ชาย,61-70 ปี,นักกฎหมาย
1,เพื่อไทย,94,นางปานทิพย์  คนสมบูรณ์,ปริญญาโท,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,95,นายปิยะ  อังกินันทน์,ปริญญาตรี,ชาย,71-80 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,96,นางปทิดา  ตันติรัตนานนท์,ปริญญาโท,หญิง,41-50 ปี,พนักงานส่วนท้องถิ่น
1,เพื่อไทย,97,นายประเกียรติ  นาสิมมา,ปริญญาตรี,ชาย,61-70 ปี,นักกฎหมาย
1,เพื่อไทย,98,นายยุทธพงษ์  แสงศรี,ปริญญาตรี,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,99,นายวิบูลย์  แช่มชื่น,ปริญญาเอก,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,100,ร้อยตำรวจโทเชาวรินธร์  ลัทธศักย์ศิริ,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,101,นายธนรัชต์  วิเชียรรัตน์,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,102,นายสมบัติ  เมทะนี,ปริญญาเอก,ชาย,71-80 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,103,นายชัยวัฒน์  กุลศักดิ์วิมล,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,104,นายถนอม  สมผล,ปริญญาตรี,ชาย,41-50 ปี,พนักงานส่วนท้องถิ่น
1,เพื่อไทย,105,นายธนกฤต  ชะเอมน้อย,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,106,นายพินิจ  จันทร์สมบูรณ์,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,107,นายสุรพร  ดนัยตั้งตระกูล,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,108,นายวิม  รุ่งวัฒนจินดา,ปริญญาตรี,ชาย,41-50 ปี,วิชาชีพอิสระ
1,เพื่อไทย,109,นายสุเทพ  สายทอง,ปริญญาตรี,ชาย,61-70 ปี,รัฐวิสาหกิจ
1,เพื่อไทย,110,พลตำรวจตรีเกษม  รัตนสุนทร,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,111,นายนิรันดร์  ด่านไพบูลย์,ปริญญาเอก,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,112,นายบัวสอน  ประชามอญ,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,113,นายวัลลภ  สุปริยศิลป์,ปริญญาเอก,ชาย,71-80 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,114,นายเรวัต  สิรินุกุล,ปริญญาตรี,ชาย,71-80 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,115,นายพิทยา  พุกกะมาน,ปริญญาตรี,ชาย,61-70 ปี,นักการเมือง
1,เพื่อไทย,116,นางพรรณี  แสงสันต์,ปริญญาโท,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,117,นายกล่ำคาน  ปาทาน,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,118,นายไชยรัตน์  ไทยเจียมอารีย์,ปริญญาเอก,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,119,นายเหรียญชัย  ลิขิตพฤกษ์,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,120,นายเรืองยุทธ  ประสาทสวัสดิ์ศิริ,ปริญญาโท,ชาย,41-50 ปี,ไม่ระบุ
1,เพื่อไทย,121,นายต่อพงษ์  ไชยสาส์น,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,122,นายชาญยุทธ  เฮงตระกูล,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,123,พลอากาศเอกสุเมธ  โพธิ์มณี,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,124,นายพิชัย  นริพทะพันธุ์,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,125,นางนลินี  ทวีสิน,ปริญญาเอก,หญิง,51-60 ปี,นักวิชาการ / ครู / อาจารย์
2,ชาติพัฒนาเพื่อแผ่นดิน,1,ร้อยตรีประพาส  ลิมปะพันธุ์,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
2,ชาติพัฒนาเพื่อแผ่นดิน,2,นายชาญชัย  ชัยรุ่งเรือง,ปริญญาเอก,ชาย,51-60 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,3,นางพรรณี  จารุสมบัติ,ปริญญาโท,หญิง,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,4,นายกรพจน์  อัศวินวิจิตร,ต่ำกว่าปริญญาตรี,ชาย,51-60 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,5,นางระนองรักษ์  สุวรรณฉวี,ปริญญาโท,หญิง,51-60 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,6,นายชาติชาย  พุคยาภรณ์,ปริญญาเอก,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,7,นายประเชิญ  ติชะปัญจนิตย์,ปริญญาเอก,ชาย,41-50 ปี,นักกฎหมาย
2,ชาติพัฒนาเพื่อแผ่นดิน,8,นายสิทธิชัย  โควสุรัตน์,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,9,นายสุรเดช  ยะสวัสดิ์,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,10,นายธนการ  ดำรงรัตน์,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,11,นายประทีป  กรีฑาเวช,ต่ำกว่าปริญญาตรี,ชาย,มากกว่า 80 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,12,นายนิกร  เลาหพงศ์ชนะ,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,13,นายโอฬาร  กาญจนากาศ,ปริญญาเอก,ชาย,51-60 ปี,นักวิชาการ / ครู / อาจารย์
2,ชาติพัฒนาเพื่อแผ่นดิน,14,นายธนะสิทธิ์  โควสุวัฒน์ชัย,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,15,นายมานะ  เกียรติเชิดแสงสุข,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,16,นายโยธิน  ณ บางช้าง,ปริญญาโท,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,17,นายภิรมย์  จั่นถาวร,ปริญญาเอก,ชาย,61-70 ปี,ข้าราชการบำนาญ
2,ชาติพัฒนาเพื่อแผ่นดิน,18,นายปกครอง  ผาสุขยืด,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,19,นายไผง  ครอบบัวบาน,ปริญญาโท,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,20,นายประยุทธ์  สวัสดิ์เรียวกุล,ปริญญาเอก,ชาย,51-60 ปี,ข้าราชการประจำ
2,ชาติพัฒนาเพื่อแผ่นดิน,21,นายสมยงค์  แก้วสุพรรณ,ปริญญาเอก,ชาย,51-60 ปี,นักกฎหมาย
2,ชาติพัฒนาเพื่อแผ่นดิน,22,นางสาวอรไท  นิตย์คำหาญ,ปริญญาโท,หญิง,41-50 ปี,แพทย์
2,ชาติพัฒนาเพื่อแผ่นดิน,23,นายทอง  ศีละวงษ์,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,นักการเมือง
2,ชาติพัฒนาเพื่อแผ่นดิน,24,พลตรีณัทภัค  มาสำราญ,ปริญญาเอก,ชาย,51-60 ปี,ข้าราชการบำนาญ
2,ชาติพัฒนาเพื่อแผ่นดิน,25,นายสมิต  จิตเพียรธรรม,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,26,นายลิขิต  มุกดา,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,27,นายพงษ์ศักดิ์  หนุ่มรักชาติ,ปริญญาโท,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,28,นายสุวิชัย  ศุภรานนท์,ปริญญาเอก,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,29,นายพลกฤษณ์  ชูจิตร,ปริญญาโท,ชาย,31-40 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,30,นายเกริกฤทธิ์  ลันไธสง,ปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,นักกฎหมาย
2,ชาติพัฒนาเพื่อแผ่นดิน,31,นางสาวภคมน  ฤดีสุขธนกุล,ปริญญาตรี,หญิง,31-40 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,32,นายเลี้ยม  วงศ์ผาบุตร,ปริญญาเอก,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,33,นายนิลโกศล  นิลประภัสสร,ปริญญาตรี,ชาย,31-40 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,34,นายจิราวัฒน์  โสรัจพงศ์เกษม,ปริญญาตรี,ชาย,41-50 ปี,ไม่ระบุ
2,ชาติพัฒนาเพื่อแผ่นดิน,35,นายณัฐวัฒณ์  เจริญผล,ปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,36,นางสาวขวัญใจ  พูลเพียร,ปริญญาตรี,หญิง,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,37,นายนวพรรษ  สุวรรณสุนทร,ปริญญาตรี,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,38,นายเกษม  พุทธิพงษ์,ปริญญาตรี,ชาย,51-60 ปี,นักวิชาการ / ครู / อาจารย์
2,ชาติพัฒนาเพื่อแผ่นดิน,39,นายนนทรัฐ  ขจีกุล,ปริญญาตรี,ชาย,31-40 ปี,นักกฎหมาย
2,ชาติพัฒนาเพื่อแผ่นดิน,40,นายจักรพันธ์  สูตรประจัน,ปริญญาตรี,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,41,นายจักรกฤษณ์  ศรีสิทธิพรหม,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,42,นายสมชาย  เมฆกิตติกุล,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,43,นายอาคม  พรหมรักษ์,ต่ำกว่าปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
2,ชาติพัฒนาเพื่อแผ่นดิน,44,นายสายันห์  ศรีขันธ์,ปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,45,นายวีรพล  วัชรสินธุ,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,46,นายพัสกร  วัฒนโพธิ์ทอง,ปริญญาตรี,ชาย,31-40 ปี,วิชาชีพอิสระ
2,ชาติพัฒนาเพื่อแผ่นดิน,47,นายธน  ชำนาญกิจ,ปริญญาตรี,ชาย,31-40 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,48,นางนนทวรรณ  สุวรรณสุนทร,ต่ำกว่าปริญญาตรี,หญิง,31-40 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,49,นางสาวสุภาพร  แก้วสว่าง,ต่ำกว่าปริญญาตรี,หญิง,31-40 ปี,อาชีพอื่นๆ
2,ชาติพัฒนาเพื่อแผ่นดิน,50,นางจันทิรา  สุวรรณสุนทร,ต่ำกว่าปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
2,ชาติพัฒนาเพื่อแผ่นดิน,51,พันเอกพีระยุทธ  ไพบูลย์วิริยะวิช,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
2,ชาติพัฒนาเพื่อแผ่นดิน,52,นายสุวรรณ  สะท้านภพ,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
